pdf_path,txt_path,engine,chars_raw,chars_norm,elapsed_sec,note
/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/RAW/Compliance/ISO_IEC-27001_2022.pdf,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/ISO_IEC-27001_2022.txt,pymupdf,57388,56768,31.05,pdfminer:59124/56642; pdfplumber:56621/56621; pymupdf:57388/56768; pypdfium2:57606/56364; pdftotext:57235/56624
/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/RAW/Compliance/NIST.SP.800-171r3.pdf,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/NIST.SP.800-171r3.txt,pdfminer,269712,256589,122.41,pdfminer:269712/256589; pdfplumber:256588/256588; pymupdf:263863/256589; pypdfium2:263023/256511; pdftotext:257522/256495
/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/RAW/Compliance/MasteringISCM.pdf,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/MasteringISCM.txt,pdfminer,467772,460124,130.28,pdfminer:467772/460124; pdfplumber:460125/460124; pymupdf:452741/452516; pypdfium2:459741/452516; pdftotext:453209/452516
/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/RAW/Compliance/MasteringISCM-2.pdf,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/MasteringISCM-2.txt,pdfplumber,442234,442234,272.44,pdfminer:446014/441909; pdfplumber:442234/442234; pymupdf:442041/441909; pypdfium2:446752/441896; pdftotext:443582/441879
/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/RAW/Compliance/NIST.SP.800-53r5.pdf,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/NIST.SP.800-53r5.txt,pdfminer,1757607,1586842,490.55,pdfminer:1757607/1586842; pdfplumber:1550559/1550589; pymupdf:1652104/1550582; pypdfium2:1583743/1550278; pdftotext:1559364/1550198
/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/RAW/Compliance/ISC2-CISSP-2024.pdf,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/ISC2-CISSP-2024.txt,pdfminer,1025609,1009204,536.65,pdfminer:1025609/1009204; pdfplumber:1009201/1009201; pymupdf:1011110/1009204; pypdfium2:1019157/1009203; pdftotext:1009803/1009121
/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/RAW/Compliance/CISSP-2024.pdf,/Users/proteu5/Documents/deep/Deep-NIM/Data-Sets/TXT/CISSP-2024.txt,pdfplumber,3042734,3042762,773.49,pdfminer:3060229/3042573; pdfplumber:3042734/3042762; pymupdf:3043573/3042573; pypdfium2:3056596/3042587; pdftotext:3044768/3042103
